var_name,consumer_repo,consumer_service,source_path,source_line,var_type
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/rollback.yml,49,gha-secret
DEPLOY_SSH_PRIVATE_KEY,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/deploy.yml,52,gha-secret
E2E_BASE_URL,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/tests/e2e/conftest.py,13,os-environ
ENVIRONMENT,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,50,docker-env
ENVIRONMENT,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/tests/conftest.py,57,os-environ
ENVIRONMENT,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,27,pydantic-setting
FAKE_OAUTH_AUDIENCE,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,85,docker-env
FAKE_OAUTH_AUDIENCE,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/fake_oauth/main.py,19,os-environ
GF_SECURITY_ADMIN_PASSWORD,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,619,docker-env
GF_SECURITY_ADMIN_USER,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,618,docker-env
GF_SERVER_ROOT_URL,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,628,docker-env
GF_SERVER_SERVE_FROM_SUB_PATH,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,629,docker-env
GH_ACTOR,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/scripts/check_tag_invariants.py,48,os-environ
GH_PACKAGES_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,831,gha-secret
GH_PACKAGES_TOKEN,noorinalabs-landing-page,.github,noorinalabs-landing-page/.github/workflows/ci.yml,37,gha-secret
GH_PACKAGES_TOKEN,noorinalabs-landing-page,.github,noorinalabs-landing-page/.github/workflows/ci.yml,78,gha-secret
GH_PACKAGES_TOKEN,noorinalabs-landing-page,.github,noorinalabs-landing-page/.github/workflows/deploy.yml,109,gha-secret
GH_TOKEN,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/scripts/check_tag_invariants.py,49,os-environ
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/db-migrate-ci-gate.yml,106,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/db-migrate.yml,112,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-isnad-graph.yml,68,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-prod.yml,134,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-prod.yml,251,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-stg.yml,160,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/image-tag-invariants.yml,67,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,182,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,194,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,417,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,422,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,445,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,795,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/promote.yml,943,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,156,gha-secret
GITHUB_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/verify-deploy.yml,213,gha-secret
GITHUB_TOKEN,noorinalabs-design-system,.github,noorinalabs-design-system/.github/workflows/ci.yml,83,gha-secret
GITHUB_TOKEN,noorinalabs-design-system,.github,noorinalabs-design-system/.github/workflows/publish.yml,52,gha-secret
GITHUB_TOKEN,noorinalabs-design-system,.github,noorinalabs-design-system/.github/workflows/publish.yml,58,gha-secret
GITHUB_TOKEN,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/ci.yml,55,gha-secret
GITHUB_TOKEN,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/ci.yml,105,gha-secret
GITHUB_TOKEN,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/ci.yml,202,gha-secret
GITHUB_TOKEN,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/ci.yml,283,gha-secret
GITHUB_TOKEN,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/ghcr-publish.yml,86,gha-secret
GITHUB_TOKEN,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/ghcr-publish.yml,139,gha-secret
GITHUB_TOKEN,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/schema-drift.yml,37,gha-secret
GITHUB_TOKEN,noorinalabs-landing-page,.github,noorinalabs-landing-page/.github/workflows/deploy.yml,62,gha-secret
GITHUB_TOKEN,noorinalabs-user-service,.github,noorinalabs-user-service/.github/workflows/ghcr-publish.yml,66,gha-secret
GITLEAKS_LICENSE,noorinalabs-isnad-graph,.github,noorinalabs-isnad-graph/.github/workflows/ci.yml,56,gha-secret
GRAFANA_ADMIN_PASSWORD,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-all.yml,39,gha-secret
GRAFANA_ADMIN_PASSWORD,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-isnad-graph.yml,58,gha-secret
GRAFANA_ADMIN_PASSWORD,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-prod.yml,214,gha-secret
GRAFANA_ADMIN_PASSWORD,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-stg.yml,128,gha-secret
GRAFANA_ADMIN_PASSWORD,noorinalabs-deploy,compose,noorinalabs-deploy/compose/.env.example,39,dotenv-example
GRAFANA_ADMIN_PASSWORD,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,619,docker-env
GRAFANA_ADMIN_PASSWORD,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/.env.example,58,dotenv-example
GRAFANA_ADMIN_PASSWORD,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,163,claude-md-ref
GRAFANA_ADMIN_USER,noorinalabs-deploy,compose,noorinalabs-deploy/compose/docker-compose.prod.yml,618,docker-env
GRAFANA_ADMIN_USER,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/.env.example,57,dotenv-example
GRAFANA_ADMIN_USER,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,163,claude-md-ref
GRAFANA_ROOT_URL,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/.env.example,60,dotenv-example
GRAFANA_ROOT_URL,noorinalabs-isnad-graph,,noorinalabs-isnad-graph/CLAUDE.md,164,claude-md-ref
HCLOUD_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,59,gha-secret
HCLOUD_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,201,gha-secret
HCLOUD_TOKEN,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/terraform.yml,411,gha-secret
HF_HUB_OFFLINE,noorinalabs-data-acquisition,src,noorinalabs-data-acquisition/src/enrich/topics.py,51,os-environ
HF_HUB_OFFLINE,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/workers/enrich/processor.py,121,os-environ
HF_HUB_OFFLINE,noorinalabs-isnad-ingest-platform,src,noorinalabs-isnad-ingest-platform/src/enrich/topics.py,51,os-environ
IMAGE_TAG,noorinalabs-deploy,compose,noorinalabs-deploy/compose/.env.example,72,dotenv-example
INGEST_CHECKPOINT_BACKEND,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/.env.example,25,dotenv-example
INGEST_CHECKPOINT_BACKEND,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/docker-compose.yaml,25,docker-env
INGEST_CHECKPOINT_BACKEND,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/docker-compose.yaml,40,docker-env
INGEST_CHECKPOINT_BACKEND,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/docker-compose.yaml,55,docker-env
INGEST_CHECKPOINT_BACKEND,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/docker-compose.yaml,70,docker-env
INGEST_CHECKPOINT_BACKEND,noorinalabs-isnad-ingest-platform,,noorinalabs-isnad-ingest-platform/workers/lib/checkpoint_factory.py,27,os-environ
ISNAD_BASE_URL,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/tests/conftest.py,126,os-environ
ISNAD_GRAPH_URL,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,177,docker-env
ISNAD_GRAPH_URL,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/tests/conftest.py,126,os-environ
ISOLATION_CHECK_RESULT,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,187,docker-env
ISOLATION_CHECK_RESULT,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/tests/test_network_isolation.py,31,os-environ
JWT_ACCESS_TOKEN_EXPIRE_MINUTES,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,42,docker-env
JWT_ACCESS_TOKEN_EXPIRE_MINUTES,noorinalabs-user-service,,noorinalabs-user-service/.env.example,31,dotenv-example
JWT_ACCESS_TOKEN_EXPIRE_MINUTES,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,64,pydantic-setting
JWT_ALGORITHM,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,41,docker-env
JWT_ALGORITHM,noorinalabs-user-service,,noorinalabs-user-service/.env.example,30,dotenv-example
JWT_ALGORITHM,noorinalabs-user-service,src,noorinalabs-user-service/src/app/config.py,63,pydantic-setting
JWT_AUDIENCE,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,149,docker-env
JWT_ISSUER,noorinalabs-deploy,integration-tests,noorinalabs-deploy/integration-tests/docker-compose.test.yml,148,docker-env
JWT_PRIVATE_KEY,noorinalabs-deploy,.github,noorinalabs-deploy/.github/workflows/deploy-all.yml,44,gha-secret
